City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Alugan,PH,80.19,broken clouds,12.2188,125.4808,JM Lodge
5,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
8,Ocos,GT,89.78,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
11,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
16,Edd,ER,83.5,broken clouds,13.9297,41.6925,
23,Tubuala,PA,83.03,few clouds,9.5167,-79.0333,Río Nabagana
41,Yarada,IN,80.92,haze,17.65,83.2667,Yarada Jungle Beach Resorts
49,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
51,Vaitape,PF,81.34,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
58,Thinadhoo,MV,84.0,broken clouds,0.5333,72.9333,
60,Cordoba,AR,80.76,clear sky,-31.4135,-64.1811,Hotel Sussex
65,Manggar,ID,80.83,overcast clouds,-2.8833,108.2667,Guest Hotel
67,Adrar,MR,93.74,broken clouds,20.5022,-10.0711,
87,Hithadhoo,MV,83.89,few clouds,-0.6,73.0833,Scoop Guest House
90,Kavieng,PG,82.72,broken clouds,-2.5744,150.7967,Nusa Island Retreat
96,Butaritari,KI,81.5,light rain,3.0707,172.7902,Isles Sunset Lodge
108,Axim,GH,81.14,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
114,Cabo San Lucas,MX,88.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
122,Varzea Da Palma,BR,84.11,scattered clouds,-17.5981,-44.7308,Casa Fernandes
129,Pundaguitan,PH,81.09,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
137,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
153,Puerto Carreno,CO,81.72,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
154,Galle,LK,81.97,overcast clouds,6.0367,80.217,Amangalla
158,Saint George,US,90.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
160,Dwarka,IN,81.86,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
162,Gangapur,IN,89.55,clear sky,26.4833,76.7167,OYO 45271 Hotel Haveli
166,Buala,SB,80.37,light rain,-8.145,159.5921,Maringe Lagoon Lodge
167,Najran,SA,82.31,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
170,Batticaloa,LK,81.64,overcast clouds,7.7102,81.6924,Grand Star Guest House
171,Camiri,BO,80.38,scattered clouds,-20.05,-63.5167,J R Hotel
176,Taoudenni,ML,91.4,clear sky,22.6783,-3.9836,
193,Caraballeda,VE,86.07,broken clouds,10.6112,-66.8522,Hotel 15 Letras
195,Marsh Harbour,BS,81.18,clear sky,26.5412,-77.0636,Abaco Beach Resort
204,Gao,ML,95.83,overcast clouds,16.6362,1.637,
207,Dakoro,NE,97.23,overcast clouds,14.5106,6.765,Shagon mai liverpool
212,Moussoro,TD,96.04,broken clouds,13.6408,16.4901,Hôtel Salama
227,Samana,DO,88.02,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
230,Mandera,KE,83.71,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
233,Dahanu,IN,82.47,clear sky,19.9667,72.7333,Pearline Beach Villas
238,Weatherford,US,91.94,clear sky,32.7593,-97.7972,Woodland Suites
239,Indore,IN,88.77,clear sky,22.7179,75.8333,Capital O 62303 Hotel Apna Palace
253,Black River,JM,83.61,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
259,Bartica,GY,82.72,light rain,6.4,-58.6167,Sloth Island Nature Resort
264,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
273,Pochutla,MX,93.02,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
277,Bela,IN,87.69,clear sky,25.9333,81.9833,Raj Bhawan
283,Tabou,CI,81.75,overcast clouds,4.423,-7.3528,hotêl doufoulougou
288,Tanda,IN,86.43,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
292,Wad Rawah,SD,94.78,broken clouds,15.1603,33.1397,ود الترابي
299,Culiacan,MX,85.68,clear sky,24.7994,-107.3897,Hotel Lucerna Culiacán
306,Tando Muhammad Khan,PK,82.17,clear sky,25.123,68.5358,Rehmat Mobile Shop
309,Tahoua,NE,95.13,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
311,Myingyan,MM,85.03,broken clouds,21.4667,95.3833,Zaw ဆိုင်ကယ်ရောင်းဝယ်ရေး
312,Ormara,PK,81.23,clear sky,25.2088,64.6357,Kenara Colony house for Rent
313,Santa Cruz,BO,81.86,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
315,Faanui,PF,81.37,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
319,Sinnamary,GF,80.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
330,Rangoon,MM,82.36,broken clouds,16.8053,96.1561,Clover Hotel
335,Jacareacanga,BR,81.64,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
336,Iraquara,BR,81.54,clear sky,-12.2486,-41.6194,Pousada E Restaurante MKE
338,Dzilam Gonzalez,MX,97.56,clear sky,21.2833,-88.9333,posadas
343,Am Timan,TD,91.26,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
346,Isla Mujeres,MX,87.85,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
359,Tessalit,ML,89.08,scattered clouds,20.1986,1.0114,
370,San Patricio,US,99.32,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
383,Alyangula,AU,80.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
384,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
388,Ciudad Del Maiz,MX,94.69,clear sky,22.4,-99.6,Hotel Casona del General
392,Port Blair,IN,82.2,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
393,Itarema,BR,80.56,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
396,Acarau,BR,80.58,broken clouds,-2.8856,-40.12,castelo pizzaria
399,Latung,PH,82.56,overcast clouds,5.5,120.8833,
404,Alta Floresta,BR,83.71,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
413,Sur,OM,84.76,clear sky,22.5667,59.5289,Sur Plaza Hotel
421,Burla,IN,82.33,broken clouds,21.5,83.8667,VSSUT Guest House
422,Amarpur,IN,84.54,clear sky,25.0333,86.9,Amit kirana store
423,Dawlatabad,AF,81.5,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
432,Kalmunai,LK,81.9,overcast clouds,7.4167,81.8167,VS Villa
436,Agadez,NE,91.4,broken clouds,19.75,10.25,
440,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
