City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Mataura,-46.1927,168.8643,57.47,98,100,3.29,NZ,2022-05-07 20:06:08,light rain
1,Rikitea,-23.1203,-134.9692,77.36,83,70,12.5,PF,2022-05-07 20:06:08,light rain
2,Alugan,12.2188,125.4808,80.19,84,56,11.43,PH,2022-05-07 20:06:09,broken clouds
3,Cherskiy,68.75,161.3,28.89,95,100,3.71,RU,2022-05-07 20:06:11,overcast clouds
4,Yellowknife,62.456,-114.3525,37.56,100,100,24.0,CA,2022-05-07 20:05:45,overcast clouds
5,Kahului,20.8947,-156.47,80.62,67,40,18.41,US,2022-05-07 20:06:13,scattered clouds
6,Lagoa,39.05,-27.9833,60.94,68,39,5.12,PT,2022-05-07 20:06:13,scattered clouds
7,Zarand,30.8127,56.564,64.98,49,48,5.73,IR,2022-05-07 20:06:14,scattered clouds
8,Ocos,14.5094,-92.1933,89.78,68,88,8.66,GT,2022-05-07 20:06:15,overcast clouds
9,Jalu,29.0331,21.5482,78.13,30,98,13.76,LY,2022-05-07 20:06:17,overcast clouds
10,Cape Town,-33.9258,18.4232,57.9,79,6,10.0,ZA,2022-05-07 20:06:18,clear sky
11,Avarua,-21.2078,-159.775,82.45,78,40,8.05,CK,2022-05-07 20:06:18,scattered clouds
12,Punta Arenas,-53.15,-70.9167,51.12,66,51,24.09,CL,2022-05-07 20:04:14,broken clouds
13,Barrow,71.2906,-156.7887,21.22,93,100,10.36,US,2022-05-07 20:02:06,overcast clouds
14,Joigny,47.9829,3.401,57.81,89,87,5.77,FR,2022-05-07 20:06:21,overcast clouds
15,Whitecourt,54.1502,-115.6855,43.86,66,100,15.23,CA,2022-05-07 20:05:23,overcast clouds
16,Edd,13.9297,41.6925,83.5,82,79,10.76,ER,2022-05-07 20:06:23,broken clouds
17,Clyde River,70.4692,-68.5914,27.36,73,93,3.04,CA,2022-05-07 20:06:23,overcast clouds
18,Khatanga,71.9667,102.5,-8.99,100,98,6.29,RU,2022-05-07 20:06:24,overcast clouds
19,Hobart,-42.8794,147.3294,51.66,79,100,12.66,AU,2022-05-07 20:04:40,overcast clouds
20,Margate,51.3813,1.3862,55.31,90,5,5.01,GB,2022-05-07 20:01:37,clear sky
