City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,41.11,75,0,6.91,CL,2022-05-02 00:19:37
1,Mayang Imphal,24.6167,93.8833,64.38,88,99,0.49,IN,2022-05-02 00:19:40
2,Ushuaia,-54.8,-68.3,38.86,81,20,6.91,AR,2022-05-02 00:19:44
3,Jamestown,42.097,-79.2353,56.79,93,100,13.8,US,2022-05-02 00:19:45
4,Rikitea,-23.1203,-134.9692,76.46,70,20,5.48,PF,2022-05-02 00:18:57
5,Busselton,-33.65,115.3333,62.2,81,68,0.43,AU,2022-05-02 00:19:46
6,Mar Del Plata,-38.0023,-57.5575,52.88,72,75,17.0,AR,2022-05-02 00:16:03
7,Calama,-22.4667,-68.9333,61.29,18,0,14.97,CL,2022-05-02 00:19:48
8,Port Alfred,-33.5906,26.891,56.17,93,2,8.48,ZA,2022-05-02 00:19:48
9,Mataura,-46.1927,168.8643,62.47,72,13,4.18,NZ,2022-05-02 00:18:14
10,Ilulissat,69.2167,-51.1,21.22,63,37,0.0,GL,2022-05-02 00:19:50
11,Sur,22.5667,59.5289,81.99,61,0,4.94,OM,2022-05-02 00:17:54
12,Alpena,45.0617,-83.4327,50.25,92,75,4.61,US,2022-05-02 00:19:51
13,Saurimo,-9.6608,20.3916,64.06,70,90,4.27,AO,2022-05-02 00:19:53
14,Manta,-0.95,-80.7333,76.78,83,75,5.75,EC,2022-05-02 00:19:54
15,Castro,-24.7911,-50.0119,63.16,88,62,2.48,BR,2022-05-02 00:19:55
16,Olonets,60.9847,32.9698,33.46,96,90,5.1,RU,2022-05-02 00:19:56
17,Vaini,-21.2,-175.2,82.56,83,75,14.97,TO,2022-05-02 00:19:57
18,College,64.8569,-147.8028,56.07,34,75,5.75,US,2022-05-02 00:19:58
19,Bredasdorp,-34.5322,20.0403,55.15,94,53,4.16,ZA,2022-05-02 00:19:59
20,Tocopilla,-22.092,-70.1979,64.45,75,18,6.85,CL,2022-05-02 00:20:00
21,Ancud,-41.8697,-73.8203,50.32,91,41,4.14,CL,2022-05-02 00:20:01
22,Naze,28.3667,129.4833,65.32,57,100,10.13,JP,2022-05-02 00:20:02
23,Nizhniy Kuranakh,58.8353,125.4869,33.06,80,100,14.05,RU,2022-05-02 00:20:04
24,Nanortalik,60.1432,-45.2371,37.45,84,100,4.41,GL,2022-05-02 00:20:06
25,Hobart,-42.8794,147.3294,64.26,64,75,12.66,AU,2022-05-02 00:15:29
26,Kavaratti,10.5669,72.642,84.06,71,86,9.01,IN,2022-05-02 00:19:45
27,Provideniya,64.3833,-173.3,29.37,59,14,12.64,RU,2022-05-02 00:20:09
28,Rawson,-43.3002,-65.1023,50.81,63,100,9.44,AR,2022-05-02 00:20:10
29,Half Moon Bay,37.4636,-122.4286,76.87,67,0,27.63,US,2022-05-02 00:20:11
30,Mataram,-8.5833,116.1167,83.21,74,46,4.99,ID,2022-05-02 00:20:12
31,Butaritari,3.0707,172.7902,81.46,79,88,13.35,KI,2022-05-02 00:20:13
32,Port Elizabeth,-33.918,25.5701,54.32,92,1,1.99,ZA,2022-05-02 00:20:14
33,Isangel,-19.55,169.2667,87.91,74,75,6.91,VU,2022-05-02 00:20:16
